spatial_cell,violations,mean_poi,max_poi,heavy_vehicle_ratio,high_severity_ratio,weekend_ratio,morning_peak_ratio,evening_peak_ratio,night_ratio,days_active,junction_ratio,mean_station_burden,mean_cell_volume,dominant_station,dominant_junction,dominant_violation,dominant_vehicle,organic_cluster_id,lat,lon,poi_density_score,peak_intensity,recent_7d_poi,previous_7d_poi,trend_ratio,trend_label,neighbor_mean_poi,neighbor_max_poi,propagation_score,trend_score,repeat_rate,repeat_rate_rank,enforcement_failure_index,cis_raw,cis,cis_band,lifecycle_state,spillover_index,archetype_id,archetype_name
cell_12.811_77.694,4,1.1786549963416462,1.1786549963416462,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.75,4.0,Electronic City,No Junction,PARKING ON FOOTPATH,CAR,-1,12.811293975,77.694435075,1.896972036792121,1.0,4.714619985366585,,,Stable,1.197824386833264,1.2322589566316795,62.448822927328564,1.0,4.0,87.80706243602866,60.26241044012283,62.38677072671444,62.38677072671444,High,Stable,62.448822927328564,4,Freight Obstruction Corridors
cell_12.811_77.695,1,0.7537718023763802,0.7537718023763802,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.75,1.0,Electronic City,No Junction,PARKING ON FOOTPATH,CAR,27,12.8111921,77.6946316,0.5224747996027762,1.0,0.7537718023763802,,,Stable,0.7407900770848939,0.8513555606494295,17.387410440122824,1.0,1.0,17.368219037871032,27.994882292732854,20.587896622313202,20.587896622313202,Low,Stable,17.387410440122824,4,Freight Obstruction Corridors
cell_12.812_77.694,2,1.2322589566316795,1.4759065198095778,0.0,0.5,0.0,0.0,1.0,0.0,1,0.0,0.75,2.0,Electronic City,No Junction,PARKING IN A MAIN ROAD,CAR,-1,12.81185095,77.69400925,1.3537748325769066,1.0,2.464517913263359,,,Stable,1.1882257110588919,1.2223448435099313,63.70266120777891,1.0,2.0,61.425281473899695,56.36476458546571,59.739636642784035,59.739636642784035,High,Stable,63.70266120777891,4,Freight Obstruction Corridors
cell_12.814_77.692,1,1.1786549963416462,1.1786549963416462,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,0.75,1.0,Electronic City,No Junction,PARKING IN A MAIN ROAD,CAR,-1,12.8141119,77.6924135,0.8169813875671047,1.0,1.1786549963416462,,,Stable,1.178900702590905,1.2322589566316795,61.079836233367445,1.0,1.0,17.368219037871032,47.228761514841345,49.95905834186284,49.95905834186284,Medium,Stable,61.079836233367445,1,Night Spillovers
cell_12.817_77.69,1,0.5596157879354227,0.5596157879354227,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.75,1.0,Electronic City,No Junction,NO PARKING,LGV,-1,12.817297,77.6899428,0.38789610560427046,1.0,0.5596157879354227,,,Stable,0.5612285300663269,0.7149405994881887,5.5655066530194475,1.0,1.0,17.368219037871032,21.804247697031727,11.574974411463664,11.574974411463664,Low,Stable,5.5655066530194475,4,Freight Obstruction Corridors
cell_12.818_77.689,84,0.8513555606494295,1.7047480922384253,0.023809523809523808,0.2619047619047619,0.047619047619047616,0.0,0.47619047619047616,0.5238095238095238,13,0.0,0.75,84.0,Electronic City,No Junction,WRONG PARKING,MOTOR CYCLE,51,12.818208559523809,77.68925663928572,3.782275851239206,0.5238095238095238,7.455804742783587,3.220538982511161,2.3150790809217185,Chronic,0.867501441699038,0.9495725101973939,33.904810644831116,2.3150790809217185,6.461538461538462,95.42604912998976,57.3720573183214,46.8746801432958,46.8746801432958,Medium,Stable,33.904810644831116,4,Freight Obstruction Corridors
cell_12.818_77.69,24,1.022875506637167,1.4759065198095778,0.0,0.2916666666666667,0.16666666666666666,0.125,0.0,0.75,6,0.0,0.75,24.0,Electronic City,No Junction,NO PARKING,CAR,51,12.818186758333333,77.689773725,3.2925092401641898,0.75,4.0915020265486675,,,Stable,1.0460304482474045,1.1128163424970476,51.305015353121796,1.0,4.0,87.80706243602866,55.470189355168884,54.79625127942681,54.79625127942681,High,Stable,51.305015353121796,1,Night Spillovers
cell_12.819_77.688,12,0.5539254403653125,0.9886113934537812,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.6666666666666666,10,0.0,0.75,12.0,Electronic City,No Junction,PARKING ON FOOTPATH,SCOOTER,50,12.819210725,77.68807961666667,1.4207907023466073,0.6666666666666666,0.727590370983078,0.517990895834068,1.4046365914885899,Emerging,0.544143201840338,0.6000294525023999,3.646366427840327,1.4046365914885899,1.2,36.69396110542477,31.87576765609007,15.860094677584444,15.860094677584444,Low,Stable,3.646366427840327,1,Night Spillovers
cell_12.819_77.689,57,1.1051478805846757,1.890850371872286,0.08771929824561403,0.5087719298245614,0.17543859649122806,0.10526315789473684,0.19298245614035087,0.543859649122807,23,0.0,0.75,57.0,Electronic City,No Junction,PARKING IN A MAIN ROAD,CAR,51,12.818906415789474,77.68903972982456,4.487389987340235,0.543859649122807,1.5083138590497607,5.09987307272845,0.2957551181734979,Declining,1.1401397508631352,1.1786549963416462,55.84698055271239,0.2957551181734979,2.4782608695652173,71.53275332650972,45.86988229273285,51.78064227226202,51.78064227226202,High,Stable,55.84698055271239,1,Night Spillovers
cell_12.819_77.69,1,0.44628710262841953,0.44628710262841953,0.0,0.0,1.0,0.0,0.0,1.0,1,0.0,0.75,1.0,Electronic City,No Junction,PARKING ON FOOTPATH,MOTOR CYCLE,51,12.818523,77.6896466,0.30934264690715596,1.0,0.44628710262841953,,,Stable,0.5236139230550142,0.6000294525023999,2.456499488229273,1.0,1.0,17.368219037871032,20.198055271238484,9.038190890481063,9.038190890481063,Low,Stable,2.456499488229273,1,Night Spillovers
cell_12.821_77.687,14,1.172291974847237,1.7047480922384253,0.0,0.5714285714285714,0.21428571428571427,0.2857142857142857,0.0,0.7142857142857143,6,0.0,0.75,14.0,Electronic City,No Junction,PARKING IN A MAIN ROAD,MOTOR CYCLE,-1,12.820927992857142,77.68724267142856,3.1746255182355667,0.7142857142857143,2.7353479413102195,,,Stable,1.175902611181218,1.1786549963416462,59.44216990788127,1.0,2.3333333333333335,69.65199590583418,55.945624360286594,57.7478889457523,57.7478889457523,High,Stable,59.44216990788127,0,Junction Choke Points
cell_12.821_77.688,3,0.9495725101973939,1.1786549963416462,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.6666666666666666,3,0.0,0.75,3.0,Electronic City,No Junction,PARKING IN A MAIN ROAD,SCOOTER,-1,12.821017266666667,77.68753706666666,1.3163870163611069,0.6666666666666666,0.9495725101973939,,,Stable,0.9451730792334263,1.022875506637167,42.24667349027635,1.0,1.0,17.368219037871032,38.65276356192425,36.93001535312181,36.93001535312181,Medium,Stable,42.24667349027635,1,Night Spillovers
cell_12.822_77.686,2,1.1786549963416462,1.1786549963416462,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,0.75,2.0,Electronic City,No Junction,PARKING IN A MAIN ROAD,CAR,-1,12.8220898,77.6862256,1.2948848630809984,1.0,2.3573099926832923,,,Stable,1.175632220981855,1.1786549963416462,60.26100307062436,1.0,2.0,61.425281473899695,54.95176560900716,57.33303480040942,57.33303480040942,High,Stable,60.26100307062436,1,Night Spillovers
cell_12.822_77.687,1,1.1786549963416462,1.1786549963416462,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.75,1.0,Electronic City,No Junction,PARKING IN A MAIN ROAD,CAR,-1,12.8219866,77.6866026,0.8169813875671047,0.0,1.1786549963416462,,,Stable,1.1756485185374623,1.1786549963416462,60.27379733879222,1.0,1.0,17.368219037871032,47.023797338792214,49.62896622313204,49.62896622313204,Medium,Stable,60.27379733879222,1,Night Spillovers
cell_12.823_77.685,4,1.1459930899450446,1.6522579096170285,0.25,0.25,0.5,0.0,0.0,0.75,2,0.0,0.75,4.0,Electronic City,No Junction,WRONG PARKING,CAR,-1,12.823348424999999,77.68534885,1.8444047263450567,0.75,2.2919861798900887,,,Stable,1.177362529669081,1.1786549963416462,57.932446264073704,1.0,2.0,61.425281473899695,54.11629989764586,55.314419140225176,55.314419140225176,High,Stable,57.932446264073704,1,Night Spillovers
cell_12.823_77.686,15,1.4970402952134476,2.1400661634962708,0.4,0.6666666666666666,0.2,0.13333333333333333,0.0,0.8666666666666667,4,0.0,0.75,15.0,Electronic City,No Junction,PARKING IN A MAIN ROAD,CAR,-1,12.823019726666667,77.68562762,4.150677039247317,0.8666666666666667,5.613901107050428,,,Stable,1.5002465618840362,1.55814461804655,78.33930399181168,1.0,3.75,85.99667349027635,67.56985670419652,73.57759723643808,73.57759723643808,High,Stable,78.33930399181168,0,Junction Choke Points
cell_12.824_77.684,1,0.9162907318741551,0.9162907318741551,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,0.75,1.0,Electronic City,No Junction,PARKING IN A MAIN ROAD,HGV,-1,12.8241458,77.6844757,0.6351243373717794,1.0,0.9162907318741551,,,Stable,0.9306533875101389,1.018042128780841,40.30194472876151,1.0,1.0,17.368219037871032,37.614380757420676,35.21014585465712,35.21014585465712,Medium,Stable,40.30194472876151,1,Night Spillovers
cell_12.824_77.685,2,1.890850371872286,1.890850371872286,1.0,1.0,0.0,0.0,0.0,1.0,1,0.0,0.75,2.0,Electronic City,No Junction,PARKING IN A MAIN ROAD,PRIVATE BUS,-1,12.8235452,77.6852116,2.0773114545715585,1.0,3.781700743744572,,,Stable,1.8335987096669968,1.890850371872286,90.1100307062436,1.0,2.0,61.425281473899695,68.59019959058342,78.18481320368474,78.18481320368474,Critical,Stable,90.1100307062436,0,Junction Choke Points
cell_12.825_77.683,3,1.1786549963416462,1.1786549963416462,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,0.75,3.0,Electronic City,No Junction,PARKING IN A MAIN ROAD,PRIVATE BUS,38,12.825203866666667,77.6831834,1.6339627751342094,1.0,3.5359649890249383,,,Stable,1.170261013246064,1.1786549963416462,59.74923234390993,1.0,3.0,79.40762538382803,58.05271238485159,60.205987717502566,60.205987717502566,High,Stable,59.74923234390993,4,Freight Obstruction Corridors
cell_12.825_77.684,2,1.890850371872286,1.890850371872286,1.0,1.0,0.0,0.0,1.0,0.0,1,0.0,0.75,2.0,Electronic City,No Junction,PARKING IN A MAIN ROAD,PRIVATE BUS,-1,12.82488015,77.6838213,2.0773114545715585,1.0,3.781700743744572,,,Stable,1.833754903461923,1.890850371872286,90.12282497441146,1.0,2.0,61.425281473899695,68.59480552712385,78.18993091095189,78.18993091095189,Critical,Stable,90.12282497441146,4,Freight Obstruction Corridors
cell_12.826_77.682,4,1.018042128780841,1.1786549963416462,0.0,0.5,0.0,0.5,0.25,0.25,3,0.0,0.75,4.0,Electronic City,No Junction,PARKING ON FOOTPATH,CAR,38,12.826143524999999,77.682172825,1.6384755985150041,0.5,1.3573895050411213,,,Stable,1.0096289380578074,1.0504459135554736,50.24309109518935,1.0,1.3333333333333333,40.83930399181167,46.5203428863869,46.07567809621289,46.07567809621289,Medium,Stable,50.24309109518935,5,Mixed Risk Zone
cell_12.826_77.683,2,1.534752684106966,1.890850371872286,0.5,1.0,0.0,0.0,1.0,0.0,1,0.0,0.75,2.0,Electronic City,No Junction,PARKING IN A MAIN ROAD,PRIVATE BUS,38,12.82625885,77.6826205,1.6860981588262784,1.0,3.069505368213932,,,Stable,1.4918768765249806,1.55814461804655,79.18372569089048,1.0,2.0,61.425281473899695,63.497313203684755,70.72223643807574,70.72223643807574,High,Stable,79.18372569089048,4,Freight Obstruction Corridors
cell_12.827_77.682,7,1.4838815858547776,1.890850371872286,0.42857142857142855,1.0,0.0,0.0,0.5714285714285714,0.42857142857142855,3,0.0,0.75,7.0,Electronic City,No Junction,PARKING IN A MAIN ROAD,PRIVATE BUS,38,12.8270502,77.68215742857141,3.085645012560178,0.5714285714285714,3.4623903669944807,,,Stable,1.4909961993990952,1.55814461804655,77.59723643807574,1.0,2.3333333333333335,69.65199590583418,64.37372057318322,70.74238741044012,70.74238741044012,High,Stable,77.59723643807574,0,Junction Choke Points
cell_12.828_77.682,7,1.0504459135554736,1.890850371872286,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.0,0.8571428571428571,0.14285714285714285,5,0.0,0.75,7.0,Electronic City,No Junction,PARKING IN A MAIN ROAD,HGV,38,12.828311542857142,77.68210774285714,2.1843408699350775,0.8571428571428571,1.470624278977663,,,Stable,1.052596716462393,1.1459930899450446,52.5460593654043,1.0,1.4,42.892784032753326,47.909160696008186,48.18353377686796,48.18353377686796,Medium,Stable,52.5460593654043,4,Freight Obstruction Corridors
cell_12.828_77.683,2,0.6000294525023999,0.7537718023763802,0.0,0.0,0.5,0.0,0.0,1.0,2,0.0,0.75,2.0,Electronic City,No Junction,PARKING ON FOOTPATH,LGV,38,12.82761035,77.68256835,0.6591997300819344,1.0,0.6000294525023999,,,Stable,0.5850502046373925,0.6566937951559014,8.994370522006141,1.0,1.0,17.368219037871032,23.26714431934493,13.883380245649949,13.883380245649949,Low,Stable,8.994370522006141,1,Night Spillovers
cell_12.829_77.682,2,1.2372176749603525,1.55814461804655,0.5,1.0,0.0,0.0,0.5,0.5,1,0.0,0.75,2.0,Electronic City,No Junction,PARKING IN A MAIN ROAD,HGV,38,12.82852495,77.68197525,1.3592225414688304,0.5,2.474435349920705,,,Stable,1.2087460660158547,1.307098646147932,64.15046059365405,1.0,2.0,61.425281473899695,56.66107983623338,60.06557062436029,60.06557062436029,High,Stable,64.15046059365405,4,Freight Obstruction Corridors
cell_12.82_77.687,2,1.1786549963416462,1.1786549963416462,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0,0.75,2.0,Electronic City,No Junction,PARKING IN A MAIN ROAD,MOTOR CYCLE,-1,12.820381600000001,77.68710455,1.2948848630809984,1.0,2.3573099926832923,,,Stable,1.1733586331337689,1.1786549963416462,60.04350051177073,1.0,2.0,61.425281473899695,54.88958546571136,57.26906345957011,57.26906345957011,High,Stable,60.04350051177073,1,Night Spillovers
cell_12.82_77.688,41,1.1128163424970476,1.7047480922384253,0.0,0.6341463414634146,0.14634146341463414,0.0,0.2926829268292683,0.6829268292682927,12,0.0,0.75,41.0,Electronic City,No Junction,PARKING IN A MAIN ROAD,SCOOTER,50,12.819999258536585,77.68769475121951,4.159339834080434,0.6829268292682927,4.718574888487089,2.5190891645938662,1.8731266370720907,Chronic,1.1390245735657525,1.1786549963416462,56.115660184237456,1.8731266370720907,3.4166666666666665,83.62333674513818,65.09864380757422,60.38990532241556,60.38990532241556,High,Growing,56.115660184237456,0,Junction Choke Points
cell_12.82_77.689,1,1.3862943611198906,1.3862943611198906,1.0,1.0,1.0,0.0,0.0,1.0,1,0.0,0.75,1.0,Electronic City,No Junction,PARKING IN A MAIN ROAD,CAR,-1,12.8196293,77.6885985,0.9609060278364028,1.0,1.3862943611198906,,,Stable,1.4464591079556073,1.534752684106966,71.9037871033777,1.0,1.0,17.368219037871032,52.230808597748215,57.723899692937565,57.723899692937565,High,Stable,71.9037871033777,0,Junction Choke Points
cell_12.831_77.681,3,0.9162907318741551,0.9162907318741551,0.0,1.0,0.0,0.0,0.3333333333333333,0.6666666666666666,3,0.0,0.75,3.0,Electronic City,No Junction,PARKING IN A MAIN ROAD,HGV,-1,12.831110133333333,77.68130433333333,1.2702486747435588,0.6666666666666666,0.9162907318741551,,,Stable,0.9256382717409841,1.018042128780841,40.05885363357216,1.0,1.0,17.368219037871032,37.54298874104401,35.12314483111567,35.12314483111567,Medium,Stable,40.05885363357216,1,Night Spillovers
cell_12.832_77.68,1,0.44628710262841953,0.44628710262841953,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.75,1.0,Electronic City,No Junction,PARKING ON FOOTPATH,MOTOR CYCLE,-1,12.8322908,77.6804247,0.30934264690715596,1.0,0.44628710262841953,,,Stable,0.4389109202424434,0.5671940070690878,1.1258955987717503,1.0,1.0,17.368219037871032,19.85030706243603,8.564802968270214,8.564802968270214,Low,Stable,1.1258955987717503,4,Freight Obstruction Corridors
cell_12.833_77.68,1,0.9162907318741551,0.9162907318741551,0.0,1.0,0.0,0.0,1.0,0.0,1,0.0,0.75,1.0,Electronic City,No Junction,PARKING IN A MAIN ROAD,HGV,-1,12.83281,77.6804146,0.6351243373717794,1.0,0.9162907318741551,,,Stable,0.894852660621403,0.9162907318741551,38.203684749232345,1.0,1.0,17.368219037871032,36.88894575230297,34.363165301944726,34.363165301944726,Medium,Stable,38.203684749232345,4,Freight Obstruction Corridors
cell_12.833_77.681,1,0.7537718023763802,0.7537718023763802,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.75,1.0,Electronic City,No Junction,PARKING ON FOOTPATH,HGV,-1,12.8328438,77.6808668,0.5224747996027762,1.0,0.7537718023763802,,,Stable,0.765813883481762,0.8305411368404003,25.358239508700102,1.0,1.0,17.368219037871032,29.929375639713406,23.750639713408393,23.750639713408393,Low,Stable,25.358239508700102,4,Freight Obstruction Corridors
cell_12.835_77.679,17,1.0363015513020957,1.7047480922384253,0.058823529411764705,0.29411764705882354,0.23529411764705882,0.35294117647058826,0.4117647058823529,0.058823529411764705,12,0.0,0.75,17.0,Electronic City,No Junction,PARKING ON FOOTPATH,CAR,37,12.835257047058823,77.67928482352941,2.9952967365475605,0.4117647058823529,0.9241996487467246,2.229545766181711,0.41452355373980126,Declining,1.0414992156430585,1.0873759223945993,51.7272262026612,0.41452355373980126,1.4166666666666667,43.36617195496418,39.09339815762538,44.71244882292733,44.71244882292733,Medium,Declining,51.7272262026612,4,Freight Obstruction Corridors
cell_12.835_77.68,2,0.6000294525023999,0.7537718023763802,0.0,0.0,0.5,0.5,0.0,0.0,2,0.0,0.75,2.0,Electronic City,No Junction,PARKING ON FOOTPATH,SCOOTER,37,12.83546385,77.67997435000001,0.6591997300819344,0.5,0.6000294525023999,,,Stable,0.5974379006169592,0.6566937951559014,9.13510747185261,1.0,1.0,17.368219037871032,23.368474923234388,13.929439611054248,13.929439611054248,Low,Stable,9.13510747185261,5,Mixed Risk Zone
cell_12.835_77.681,1,0.7537718023763802,0.7537718023763802,0.0,0.0,1.0,1.0,0.0,0.0,1,0.0,0.75,1.0,Electronic City,No Junction,PARKING ON FOOTPATH,CAR,37,12.8354691,77.6805315,0.5224747996027762,1.0,0.7537718023763802,,,Stable,0.7574618436540308,0.8054504093413107,23.285568065506652,1.0,1.0,17.368219037871032,29.420419651995903,22.913894575230298,22.913894575230298,Low,Stable,23.285568065506652,5,Mixed Risk Zone
cell_12.836_77.679,30,0.8054504093413107,1.7047480922384253,0.0,0.13333333333333333,0.16666666666666666,0.03333333333333333,0.3,0.5333333333333333,21,0.0,0.75,30.0,Electronic City,No Junction,PARKING ON FOOTPATH,SCOOTER,37,12.83584915,77.67904801333334,2.7659063995253845,0.5333333333333333,0.920940232521774,0.9907269437187882,0.9295591573453963,Stable,0.7688383977119593,0.8305411368404003,28.953428863868986,0.9295591573453963,1.4285714285714286,43.647645854657114,30.254094165813715,30.16920419651996,30.16920419651996,Medium,Stable,28.953428863868986,1,Night Spillovers
cell_12.836_77.68,1,0.7537718023763802,0.7537718023763802,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.75,1.0,Electronic City,No Junction,PARKING ON FOOTPATH,LGV,37,12.83605,77.6795183,0.5224747996027762,1.0,0.7537718023763802,,,Stable,0.75724172577348,0.8054504093413107,23.196008188331625,1.0,1.0,17.368219037871032,29.404298874104402,22.885747185261003,22.885747185261003,Low,Stable,23.196008188331625,4,Freight Obstruction Corridors
cell_12.837_77.663,1,0.9886113934537812,0.9886113934537812,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.75,1.0,Electronic City,No Junction,WRONG PARKING,CAR,-1,12.8369009,77.6628802,0.6852532000419272,1.0,0.9886113934537812,,,Stable,1.0228764797893115,1.0474728641079007,49.20675537359263,1.0,1.0,17.368219037871032,41.43986693961105,40.850498976458546,40.850498976458546,Medium,Stable,49.20675537359263,1,Night Spillovers
cell_12.837_77.678,1,0.3184537311185346,0.3184537311185346,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.75,1.0,Electronic City,No Junction,DEFECTIVE NUMBER PLATE,MOTOR CYCLE,37,12.8368383,77.678485,0.22073530586360715,1.0,0.3184537311185346,,,Stable,0.3954714140184089,0.44628710262841953,0.49897645854657113,1.0,1.0,17.368219037871032,19.41171954964176,7.845125383828044,7.845125383828044,Low,Stable,0.49897645854657113,1,Night Spillovers
cell_12.838_77.677,4,0.4143287597509483,0.44628710262841953,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,0.75,4.0,Electronic City,No Junction,DEFECTIVE NUMBER PLATE,MOTOR CYCLE,-1,12.8378712,77.6773136,0.6668364141549761,1.0,0.8286575195018966,,,Stable,0.41686571454522753,0.5596157879354227,1.010747185261003,1.0,2.0,61.425281473899695,27.53083418628454,14.509659672466736,14.509659672466736,Low,Stable,1.010747185261003,1,Night Spillovers
cell_12.839_77.651,1,0.7537718023763802,0.7537718023763802,0.0,0.0,1.0,0.0,0.0,1.0,1,0.0,0.75,1.0,Electronic City,No Junction,NO PARKING,CAR,-1,12.8394944,77.6507553,0.5224747996027762,1.0,0.7537718023763802,,,Stable,0.7523981237859844,0.7898532555270422,19.920675537359266,1.0,1.0,17.368219037871032,28.642016376663253,21.560261003070625,21.560261003070625,Low,Stable,19.920675537359266,1,Night Spillovers
cell_12.839_77.657,1,0.7537718023763802,0.7537718023763802,0.0,0.0,1.0,1.0,0.0,0.0,1,0.0,0.75,1.0,Electronic City,No Junction,NO PARKING,CAR,-1,12.8390489,77.6571115,0.5224747996027762,1.0,0.7537718023763802,,,Stable,0.7447327831360251,0.7898532555270422,17.92476970317298,1.0,1.0,17.368219037871032,28.123848515864893,20.79772262026612,20.79772262026612,Low,Stable,17.92476970317298,5,Mixed Risk Zone
cell_12.839_77.678,46,0.7415470295828898,1.33828514193353,0.021739130434782608,0.0,0.34782608695652173,0.0,0.021739130434782608,0.9782608695652174,4,0.0,0.75,46.0,Electronic City,No Junction,NO PARKING,SCOOTER,43,12.839020552173913,77.67796156956521,2.855065517503781,0.9782608695652174,8.527790840203233,,,Stable,0.7537718023763803,0.7537718023763803,16.67093142272262,1.0,11.5,98.83572159672467,42.356832139201636,32.2150076765609,32.2150076765609,Medium,Stable,16.67093142272262,1,Night Spillovers
